Recipe title,Ingredients,Directions,Prep time,Cook time,Serves,Picture Name
breakfast sandwich,"1/2 lb sausage
4 eggs
4 English muffins
4 slices cheddar cheese
1 TBS butter
salt and pepper to taste
1 avocado","At Camp

1. Slice avocado and form the sausages into patties about 4 inches wide, 1/4 inch thick. Sausage can be cooked ahead of time at home, or cooked in a skillet at camp. 

2. Warm up the cast iron for about 1-2 minutes, place patties on skillet and cook for 2-3 minutes on each side. 

3. Set patties aside, cook eggs to your preference and season with salt to pepper to taste. 

4. When eggs are almost done, place English muffins face down on cast iron to toast them. 

5. Assemble sandwiches by buttering both sides of English muffin, top with sausage patty, avocado, eggs and slice of cheddar cheese. 

Side suggestions: 
Mixed fruit, homestyle potatoes",10,15,4,break_sand.jpg
strawberry french toast,"1 lb strawberries
2 tablespoons sugar
4 eggs
1 cup milk
1 tablespoon sugar
1 teaspoon cinnamon
12 slices Texas toast
Butter
1 cup mascarpone cheese
Maple syrup","At Home:

1.Quarter the strawberries and place in a bowl with 2 tablespoons sugar. Stir to coat.
2.Store in an airtight container and bring to camp 
At Camp:

1.In a separate bowl, thoroughly beat the eggs with the milk, a tablespoon of sugar, and cinnamon. 
2.In a nonstick pan over medium heat, warm a tablespoon of butter. 
3.Dip the bread into the egg/milk mixture, letting the bread absorb the liquid for a few seconds, then flipping and soaking the other side for a few seconds. Lift out of the mixture and let the excess drip off. 
4.Place in the pan. Repeat with a second (and third, if your pan allows it) piece of bread. 
5.Once the toast is golden on one side (about 3 minutes), flip and cook the other side for an additional 2 minutes or so. Remove and set aside.

6.Heat the second tablespoon of butter and repeat the process until all the toast is cooked. 
7.To serve, spread mascarpone cheese over the top of a slice of toast, spoon some of the berries and their syrup on, then repeat with another slice to “stuff” the French toast. 
8.Drizzle some maple syrup over the top and enjoy",5,25,6,f_toast.jpg
shrimp boil packets,"1 ear of corn, cut into 8 pieces
1 medium zucchini, sliced thick
4 cloves garlic, minced
1/2 lb uncooked shrimp
1 teaspoon Old Bay Seasoning
1 teaspoon Cajun seasoning
4 tablespoons butter
Fresh parsley, chopped","At Home:

1.Cut corn into 8 pieces

2.Cut zucchini into thick slices, mince garlic 

3.Chop parsley

At Camp:

1.Tear an 18” piece of heavy-duty foil for each packet, along with a 16” sheet of parchment paper for each. Layer the parchment paper on top of the foil. 
2.Divide the corn, zucchini, minced garlic, shrimp, spices, and butter between the two sheets of foil. 
3.To form the packets, bring one of the short edges of the foil to meet the other, then crimp around all edges to seal. 
4.Cook the packets over your campfire for 8 minutes, flipping occasionally. 
5.Remove from the fire and let cool slightly. Open the packets carefully – they will be full of hot steam. Top with fresh parsley and enjoy.",5,10,2,shrimp.jpg
chicken and vegetable kebobs,"For the Marinade
¼ cup olive oil
¼ cup chopped basil
¼ cup chopped parsley
2 cloves garlic, minced
1 lemon, juiced
1 teaspoon salt

To Build the Skewers
½ lb chicken (boneless, skinless thighs work best), cut into 1 inch pieces
8 oz whole mushrooms, stems removed
8 oz cherry tomatoes
2-3 green onions, cut into 1 inch pieces","At Home:

1. Combine the ingredients for the marinade in a large bowl or ziplock bag. 

2. Add the chicken pieces and thoroughly coat. 

3. Cover the bowl or seal the bag and marinate for at least 30 minutes or overnight

At Camp:

1. Fire up your grill or get your campfire going. You’ll be cooking the kebabs over medium-high to high heat. 
2. Build the kabobs by threading the chicken and vegetables onto your skewers. 
3. Grill the kabobs over medium-high to high heat, turning occasionally so they cook evenly until the chicken is cooked through - about 10 minutes total. 
4. Remove from the grill and enjoy",5,10,6,chick_keb.jpg
chili,"1 medium onion, chopped
1 tablespoon olive oil
14 oz can black beans, drained
14 oz can red kidney beans, drained
14 oz can diced tomatoes, with their juices
1 can chipotle peppers in adobo sauce, seeds removed (see below)
12 oz can beer, preferably lager
2 teaspoons sea salt
1 teaspoon garlic powder
1 teaspoon cumin","At Camp:

1. Using a fork, remove the desired number of peppers from the can. Reserve the adobo sauce. 

2. Slice peppers open, and then using the back of your knife, scrape out and discard the seeds & ribs. Roughly chop the peppers and set them aside. 
3. In a large dutch oven, heat the olive oil over medium heat until shimmering. 

4. Add the onions and sauté until they begin to soften and turn translucent. 

5. Add the drained kidney and black beans, tomatoes and their juices, chopped chipotles and the adobo sauce, beer, salt and spices. Stir to combine. 
6.Cook the chili until thickened to your liking, about 20 minutes 

7. Serve immediately with your choice of toppings (cheese, avocado, green onions, etc) and cornbread on the side 
",10,25,4,chili.jpg
grilled peaches,"2 large ripe peaches
1 tablespoon brown sugar
1 (5.3oz) container thick vanilla yogurt, such as Greek yogurt
honey to taste
3-4 mint leaves, minced","At Camp:

1.Slice the peaches in half and remove the pits. Sprinkle the brown sugar over the cut sides. 
2.Place the peaches cut side down onto the grill over low to medium-low heat and cook until the peaches are warm and beginning to soften, about 8 minutes, flipping halfway. 
3.Remove from grill and top each peach half with vanilla yogurt, a drizzle of honey, and a sprinkle of mint. Enjoy!",2,10,4,peach.jpg
mushroom burgers,"Burger ingredients:
3 tbsp olive oil
1 medium onion (chopped)
20 oz mushrooms, finely chopped
1 cup quick cook oats
1 cup breadcrumbs
1/2 cup chopped parsley
4 garlic cloves (minced)
2 eggs
1/2 tsp dried oregano
1/2 tsp dried thyme
1/4 tsp salt
1/4 tsp pepper
1/3 cup grated Parmesan cheese
parsley to garnish

Other Ingredients:
4 onion buns
Desired burger toppings: lettuce, tomato, red onion, avocado, Swiss cheese, condiments","At Home:

1. In a large skillet, sauté the onion in olive oil on medium-low heat for about 7 minutes. 

2. Add mushrooms, increase the heat to medium-high and cook them for 10-15 minutes. You’ll need to wait until the water evaporates, then continue cooking the mushrooms until they brown nicely. 

3. Add garlic, stir, and transfer the mushrooms into the mixing bowl. Let them cool down.

4. Add the rest of the ingredients to the bowl with the mushrooms. Stir the mixture to combine. 

5. Cover the bowl with plastic wrap and refrigerate for at least 2 hours. If possible, chill overnight for the flavors (and texture!) to develop.

At Camp:

1. When ready to cook, form patties about 2-3 inches wide, ¼ inch thick. 

2. Warm skillet and a small amount of oil or butter over the fire for 1-2 minutes. 

3. Place patties in skillet and fry each side for 5-6 minutes or until brown.

4. Toast buns over fire. 

5. To assemble, place burgers on onion buns and add desired toppings/condiments

6. Serve with a side of mac and cheese, fire roasted corn, or baked beans",150,10,4,mush_burg.jpg
fish tacos,"Spice Rub:

1 1/2 teaspoon chili powder
1 teaspoon cumin
1 teaspoon coriander
1/2 teaspoon minced garlic
3/4 teaspoon kosher salt
1/2 teaspoon sugar (optional)
1/4 teaspoon chipotle powder

Cabbage Slaw :

1 pound thinly sliced or shredded cabbage ( green and purple is nice)
1/2 teaspoon kosher salt, more to taste
1/4 cup thinly sliced red onion, more to taste
1/2 cup chopped cilantro ( packed), ½ of a large bunch
1/4-1/2 of a jalapeño, finely chopped, (optional) 
1/2 cup fresh lime juice, more to taste
2 tablespoon olive oil

Other:

2 tablespoon olive oil
1-2 pounds tilapia
8 small corn or flour tortillas 
Avocado slices
Cilantro sprigs 
Queso fresco cheese
Cilantro lime dressing, any desired brand (optional)","At Camp:

1. In a small bowl, stir fish rub spices together. Sprinkle all sides of fish lightly with the spice rub (you most likely will not need all). Set aside.

2. Place the shredded cabbage in a medium bowl. Toss with the salt. Add the onions, cilantro, jalapeño, lime juice, olive oil and toss well. Adjust lime, salt, and jalapeño, adding more to taste– you want this to taste tangy and flavorful.

3. Warm skillet over fire with olive oil for 2-3 minutes. 

4. Place fish in skillet and cook each side of fish for 2-3 minutes. Cook until the desired doneness and squeeze with a little lime juice.

5. Briefly warm tortillas over fire. 

6. Assemble tacos by placing fish in the tortillas, top with cabbage slaw, cheese, avocado slice, and optional cilantro dressing.  Garnish with lime and cilantro.

Side Suggestions: 
Rice or beans",20,8,4,f_taco.jpg
smores,"Essential Ingredients:

1 Box of graham crackers
1 Bag of marshmallows
Chocolate bar
Roasting sticks

Optional Toppings:

Reese’s peanut butter cups
1 jar Nutella
1 sliced banana","At Camp:

1. Prep s’more. Break graham cracker in half and put desired toppings on one cracker. 

2. Roast marshmallow

3. Place marshmallow on prepped cracker with toppings, followed by second half of cracker.

Classic S’more
Combine graham cracker, roasted marshmallow, and chocolate

Banana Nutella
Combine graham cracker, roasted marshmallow, Nutella spread, and sliced bananas

Peanut Butter Cup
Combine graham cracker, roasted marshmallow, and a peanut butter cup",5,5,6,smore.jpg
kale avocado sandwich,"2 leaves of kale
Grated zest of half a small lemon
Juice of 1 small lemon
2 tablespoons shredded parmesan
2 teaspoons extra-virgin olive oil
Kosher salt and freshly ground black pepper to taste
2 sturdy sandwich rolls
1 avocado","At Home or at Camp:

1.Tear kale into small pieces and place in a medium bowl 

2. Add the lemon zest and juice, parmesan, and oil. Message to coat the kale. Season with salt and pepper to taste

3. Smash one half of the avocado onto both sides of each sandwich roll. 

4. Top one side of the roll with the kale mixture and cover with the other side of the roll.

5. If made at home, store in airtight container and keep chilled. Enjoy at camp or on the trail.",5,0,2,kale_sand.jpg
